;genre;artist_name;track_name;popularity;acousticness;danceability;energy;key;loudness;mode;tempo
0;Movie;Henri Salvador;C'est beau de faire un Show;0;0.61;0.39;0.91;C#;-1.83;Major;166.97
1;Movie;Martin & les fées;Perdu d'avance (par Gad Elmaleh);1;0.25;0.59;0.74;F#;-5.56;Minor;174.0
2;Movie;Joseph Williams;Don't Let Me Be Lonely Tonight;3;0.95;0.66;0.13;C;-13.88;Minor;99.49
3;Movie;Henri Salvador;Dis-moi Monsieur Gordon Cooper;0;0.7;0.24;0.33;C#;-12.18;Major;171.76
4;Movie;Fabien Nataf;Ouverture;4;0.95;0.33;0.23;F;-21.15;Major;140.58
5;Movie;Henri Salvador;Le petit souper aux chandelles;0;0.75;0.58;0.1;C#;-14.97;Major;87.48
6;Movie;Martin & les fées;Premières recherches (par Paul Ventimila, Lorie Pester, Véronique Jannot, Michèle Laroque & Gérard Lenorman);2;0.34;0.7;0.27;C#;-12.68;Major;82.87
7;Movie;Laura Mayne;Let Me Let Go;15;0.94;0.42;0.27;F#;-8.95;Major;96.83
8;Movie;Chorus;Helka;0;0.0;0.73;0.48;C;-7.72;Major;125.08
9;Movie;Le Club des Juniors;Les bisous des bisounours;10;0.32;0.6;0.7;G;-7.79;Major;137.5
10;Movie;Leopold Stokowski;Symphony No.4 In E Minor Op.98 : IV. Allegro Energico E Passionato;0;0.92;0.19;0.14;E;-17.24;Minor;85.22
11;Movie;Randy Newman;The Hanging (Maverick - Original Motion Picture Score) - Remastered;2;0.04;0.23;0.13;C;-19.05;Major;91.74
12;Movie;Idoles De La Musique;J'ai demandé à la lune;4;0.21;0.68;0.6;F#;-7.7;Minor;110.03
13;Movie;Chorus;Mangala Aarti;3;0.96;0.76;0.26;D#;-11.97;Major;110.07
14;Movie;Richard M. Sherman;Keys of Love;0;0.97;0.4;0.17;G;-13.87;Major;115.02
15;Movie;Michel Roux;Les aventures d'Arsène Lupin: 813 - Partie 6;0;0.55;0.59;0.41;G#;-15.55;Major;83.56
16;Movie;Jean Claude Corbel;Diane;0;0.7;0.62;0.24;D;-16.66;Major;108.51
17;Movie;Bernard Minet;Ultra Man 80;3;0.49;0.74;0.95;E;-4.99;Major;129.96
18;Movie;Henri Salvador;Veunise;1;0.38;0.45;0.49;D;-8.73;Major;71.63
19;Movie;Amalya;Ladies And Gentlemen;4;0.16;0.52;0.75;C#;-5.2;Major;184.06
20;Movie;Martin & les fées;Tout est possible (par Anggun, Dany Brillant, Garou, Gérard Lenorman, Julie Zenatti, Lisa Angell, Lorie Pester, Natasha St-Pier, Patrick Fiori, Paul Ventimila, Sara Carreira, Veronique Jannot & Vincent Niclo);1;0.85;0.36;0.44;C;-6.97;Major;79.54
21;Movie;Dorothée;Clic clac cloc;1;0.51;0.85;0.5;D;-12.36;Major;128.05
22;Movie;Henri Salvador;Monsieur Boum Boum;8;0.69;0.7;0.8;C;-6.7;Major;128.0
23;Movie;Jean Claude Corbel;Pourquoi aller plus loin ?;0;0.67;0.71;0.7;C;-10.47;Major;114.75
24;Movie;Henri Salvador;Quand je monte chez toi;5;0.71;0.53;0.3;F;-7.29;Major;156.35
25;Movie;Jean Piat;Comme minuit sonnait;0;0.88;0.71;0.22;A#;-22.21;Minor;125.52
26;Movie;Henri Salvador;Le Fêtard;0;0.16;0.64;0.59;G#;-7.94;Major;111.36
27;Movie;Lucie Dolene;Le mariage des poupées;0;0.86;0.59;0.48;G;-7.68;Minor;136.18
28;Movie;Henri Salvador;Une chanson douce;2;0.72;0.83;0.38;G#;-15.63;Major;126.89
29;Movie;Chorus;Mangani – Do Banjare / Amba Heth;0;0.18;0.69;0.5;A;-10.22;Minor;112.97
30;Movie;Chorus;A ty się śmiejesz ze mnie;0;0.0;0.71;0.94;C;-4.01;Major;145.12
